***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP NAVAIDS EXPORT
*
* VERSION= 1371698
*
**************************
37,45:40:10N,00:18:22W,33.0M,T,COGNAC CHATEAUBERNARD,Navaid|ID:CGC|Frequency:354/|Range:75 NM |Magnetic declination:-0.5582|Aligned to true north:FALSE
38,45:39:41N,00:18:28W,28.0M,T,COGNAC CHATEAUBERNARD,Navaid|ID:CGC|Frequency:/109X|Range:160 NM |Magnetic declination:-0.55744|Aligned to true north:FALSE
39,48:50:41N,03:00:50E,139.0M,T,COULOMMIERS VOISINS,Navaid|ID:CLM|Frequency:112.9/76X|Range:60 NM |Magnetic declination:0.22945|Aligned to true north:FALSE
40,49:18:39N,00:18:46E,145.0M,T,DEAUVILLE NORMANDIE,Navaid|ID:DVL|Frequency:110.2/|Range:60 NM |Magnetic declination:-0.67814|Aligned to true north:FALSE
41,49:55:31N,01:10:14E,104.0M,T,DIEPPE,Navaid|ID:DPE|Frequency:115.8/|Range:40 NM |Magnetic declination:-0.45175|Aligned to true north:FALSE
42,43:59:29N,06:06:03E,913.0M,T,DIGNE,Navaid|ID:DGN|Frequency:113.85/|Range:90 NM |Magnetic declination:1.28828|Aligned to true north:FALSE
43,47:16:19N,05:05:30E,216.0M,T,DIJON-LONGVIC,Navaid|ID:DIJ|Frequency:/82X|Range:60 NM |Magnetic declination:0.93049|Aligned to true north:FALSE
44,48:35:10N,02:04:56W,63.0M,T,DINARD PLEURTUIT SAINT MALO,Navaid|ID:DIN|Frequency:114.300/90X|Range:80 NM |Magnetic declination:-2|Aligned to true north:FALSE
45,48:28:55N,02:03:10W,62.0M,T,DINARD PLEURTUIT SAINT MALO,Navaid|ID:DR|Frequency:390/|Range:25 NM |Magnetic declination:-2|Aligned to true north:FALSE
46,48:37:33N,01:39:24E,158.0M,T,EPERNON,Navaid|ID:EPR|Frequency:115.65/103Y|Range:60 NM |Magnetic declination:-0.17835|Aligned to true north:FALSE
47,48:19:04N,06:03:34E,343.0M,T,EPINAL MIRECOURT,Navaid|ID:EPL|Frequency:113/|Range:60 NM |Magnetic declination:1.16441|Aligned to true north:FALSE
48,49:01:43N,01:12:51E,136.0M,T,EVREUX FAUVILLE,Navaid|ID:EVX|Frequency:/71X|Range: NM |Magnetic declination:-0.35649|Aligned to true north:FALSE
