***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1375249
*
**************************
253,41:22:05N,09:15:47E,2.0M,A,CAVALLO,|,
254,44:13:27N,01:43:53E,319.0M,A,CAYLUS,|,
255,44:32:06N,01:07:53W,26.0M,A,CAZAUX,257.800|LFBC,
256,44:00:41N,00:17:44E,138.0M,A,CAZEAUX,|,
257,43:12:03N,01:03:00E,249.0M,A,CAZERES PALAMINY,|LFJH,
258,43:04:58N,05:56:02E,5.0M,A,CCMAR MEDITERRANEE,|,
383,43:51:11N,05:32:60E,324.0M,A,CERESTE PRV 36,123.500|,
384,49:10:45N,00:59:52E,144.0M,A,CESSEVILLE FERME DES MOULINS,|,
385,44:42:15N,00:46:23W,63.0M,A,CESTAS,|,
386,44:39:15N,06:11:02E,1078.0M,A,CHABOTTES,|,
387,48:04:51N,03:42:51E,170.0M,A,CHAILLEY,|LFJM,
388,45:16:05N,00:01:01E,87.0M,A,CHALAIS,|LFIH,
392,46:49:42N,04:49:01E,190.0M,A,CHALON CHAMPFORGEUIL,|LFLH,
393,48:54:20N,04:21:10E,98.0M,A,CHALONS ECURY SUR COOLE,|LFQK,
394,48:46:24N,04:12:22E,179.0M,A,CHALONS VATRY,134.475|LFOK,
396,45:38:21N,05:52:48E,237.0M,A,CHAMBERY AIX LES BAINS,118.300|LFLB,
397,45:33:38N,05:58:33E,297.0M,A,CHAMBERY CHALLES LES EAUX,|LFLE,
398,49:01:32N,05:52:34E,264.0M,A,CHAMBLEY,|LFJY,
399,47:12:44N,04:54:27E,448.0M,A,CHAMBOEUF,|,
401,46:45:50N,05:49:11E,532.0M,A,CHAMPAGNOLE CROTENAY,|LFGX,
402,46:43:00N,03:16:00E,256.0M,A,CHAMP DU GUI,|,
403,47:17:38N,03:21:35E,289.0M,A,CHAMPLéMY VARZY,|,
404,48:23:37N,01:03:27E,262.0M,A,CHAMPROND-LE PETIT BOIS LANDRY,|,
405,45:49:08N,05:47:24E,233.0M,A,CHANAZ,|,
406,47:27:37N,00:14:09E,88.0M,A,CHANNAY SUR LATHAN,|,
407,46:00:47N,03:01:14E,617.0M,A,CHARBONNIèRES LES VIEILLES,|,
408,49:47:06N,04:38:34E,150.0M,A,CHARLEVILLE MEZIERES,|LFQV,
410,48:27:32N,01:31:26E,155.0M,A,CHARTRES CHAMPHOL,|LFOR,
411,48:28:00N,05:24:44E,375.0M,A,CHASSEY,|,
412,44:03:31N,05:59:27E,459.0M,A,CHATEAU ARNOUX SAINT AUBAN,|LFMX,
413,47:44:26N,01:11:17W,98.0M,A,CHATEAUBRIANT POUANCE,|LFTQ,
415,48:03:28N,01:22:46E,132.0M,A,CHATEAUDUN,121.750|LFOC,
417,46:52:16N,02:22:37E,168.0M,A,CHATEAUNEUF SUR CHER,|LFFU,
419,46:51:37N,01:43:16E,161.0M,A,CHATEAUROUX DEOLS,125.875|LFLX,
420,49:04:00N,03:21:20E,220.0M,A,CHATEAU THIERRY BELLEAU,|LFFH,
421,46:46:49N,00:33:02E,64.0M,A,CHATELLERAULT TARGE,|LFCA,
422,47:50:43N,04:34:46E,276.0M,A,CHATILLON SUR SEINE,|LFQH,
423,45:00:45N,05:04:60E,203.0M,A,CHATUZANGE-LE-GOUBET,|,
424,47:34:30N,05:20:59E,275.0M,A,CHAUME ET COURCHAMP,|,
425,48:05:30N,05:03:00E,305.0M,A,CHAUMONT SEMOUTIERS,|LFJA,
427,46:35:00N,00:38:22E,135.0M,A,CHAUVIGNY,|LFDW,
428,47:57:07N,01:03:51E,173.0M,A,CHAUVIGNY-DU-PERCHE,|,
429,48:50:32N,01:58:49E,129.0M,A,CHAVENAY VILLEPREUX,129.525|LFPX,
430,48:53:48N,02:36:22E,63.0M,A,CHELLES LE PIN,|LFPH,
431,46:20:54N,00:00:46W,126.0M,A,CHENAY,|,
432,48:31:55N,06:37:51E,275.0M,A,CHENEVIERES,|,
434,49:39:03N,01:28:31W,140.0M,A,CHERBOURG MAUPERTUS,119.625|LFRC,
437,47:04:55N,00:52:38W,135.0M,A,CHOLET LE PONTREAU,|LFOU,
438,47:30:25N,01:13:58E,64.0M,A,CHOUZY SUR CISSE,|,
440,46:50:27N,01:37:12E,165.0M,A,CHÂTEAUROUX VILLERS,125.875|LFEJ,
442,48:16:28N,00:19:30E,99.0M,A,CHâTEAU DE MONHOUDOU,|,
444,47:18:34N,04:49:10E,338.0M,A,CHâTEAU LA CHASSAGNE,|,
446,44:21:43N,00:24:14E,34.0M,A,CLAIRAC,|,
447,47:26:15N,03:30:27E,218.0M,A,CLAMECY,|LFJC,
448,43:29:39N,00:17:21W,238.0M,A,CLARACQ - VILLA LES PALMIERS,|,
449,44:35:57N,00:20:28E,78.0M,A,CLAUDE VAYSSIèRE,|,
451,45:47:09N,03:09:45E,333.0M,A,CLERMONT FERRAND AUVERGNE,118.625|LFLC,
454,48:29:58N,03:45:42E,80.0M,A,CLOSED - ROMILLY SUR SEINE,|LFQR,
455,45:39:30N,00:19:03W,31.0M,A,COGNAC CHATEAUBERNARD,120.075|LFBG,
456,43:15:26N,06:32:41E,8.0M,A,COGOLIN - GRIMAUD,|,
457,47:55:19N,07:23:59E,211.0M,A,COLMAR-MEYENHEIM AIR BASE,122.1|LFSC,
458,48:06:37N,07:21:33E,191.0M,A,COLMAR HOUSSEN,119.000|LFGA,
460,46:40:49N,02:34:49E,217.0M,A,COLOMBIERS,|,
461,48:18:56N,00:21:18E,109.0M,A,COMMERVEIL,|,
463,49:26:01N,02:48:17E,96.0M,A,COMPIEGNE MARGNY,|LFAD,
464,45:33:42N,03:27:03E,716.0M,A,CONDAT LES MONTBOISSIERS,|,
465,45:06:15N,01:12:54E,135.0M,A,CONDAT VEREZE,123.500|,
466,48:53:30N,00:30:07W,242.0M,A,CONDE/NOIREAU AIRPORT,|LFAN,
467,44:28:47N,00:55:00E,86.0M,A,CONDEZAYGUES,|,
468,43:54:37N,00:23:14E,135.0M,A,CONDOM VALENCE SUR BAISE,|LFID,
471,49:27:28N,03:51:15E,71.0M,A,CORBENY,|,
472,45:57:41N,05:49:05E,358.0M,A,CORBONOD SEYSSEL,|,
473,46:02:23N,05:29:49E,839.0M,A,CORLIER,|LFJD,
474,45:37:15N,00:51:03W,26.0M,A,CORME ECLUSE,|,
475,42:41:30N,02:43:58E,81.0M,A,CORNEILLA LA RIVIèRE,|,
